#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.64e+01    8.15e+00      1.31e-02    1.81e-01      8.34e-01    2.58e-01    1.0e-03
    100      1.33e+01    6.91e+00      2.41e+00    1.78e+00      4.15e-01    2.14e-01    1.0e-03
    200      9.19e+00    3.08e+00      1.43e+00    2.01e-01      2.88e-01    9.72e-02    1.0e-03
    300      8.14e+00    1.75e+00      9.52e-01    2.17e-01      2.56e-01    5.51e-02    1.0e-03
    400      5.91e+00    4.11e+00      9.47e-02    1.54e-01      1.87e-01    1.30e-01    1.0e-03
    500      3.77e+00    2.61e+00      5.91e-02    9.22e-01      1.25e-01    6.36e-02    9.0e-04
    600      4.52e+00    8.87e-01      1.69e-02    1.21e-02      1.51e-01    2.95e-02    9.0e-04
    700      1.01e+01    1.72e+00      1.98e-01    1.31e-01      3.36e-01    5.66e-02    9.0e-04
    800      3.60e+00    1.00e-01      2.74e-02    9.61e-03      1.20e-01    3.27e-03    9.0e-04
    900      2.67e+00    1.69e-01      1.00e-01    6.80e-03      8.86e-02    5.60e-03    9.0e-04
   1000      3.00e+00    6.87e-01      8.88e-02    1.02e-01      1.05e-01    2.23e-02    8.1e-04
   1100      2.56e+00    1.73e+00      1.09e-02    6.69e-02      8.97e-02    6.04e-02    8.1e-04
   1200      1.94e+00    4.46e-01      1.21e-02    4.18e-02      6.78e-02    1.52e-02    8.1e-04
   1300      2.26e+00    9.70e-01      1.30e-01    1.67e-01      7.83e-02    3.06e-02    8.1e-04
   1400      2.29e+00    1.96e-01      3.96e-02    5.36e-02      8.01e-02    4.92e-03    8.1e-04
   1500      4.18e+00    1.07e+00      3.06e-02    3.02e-01      1.54e-01    2.13e-02    7.4e-04
   1600      1.88e+00    2.88e-01      4.67e-02    3.26e-03      6.92e-02    1.06e-02    7.4e-04
   1700      2.31e+00    2.34e-01      6.03e-02    1.22e-03      8.49e-02    8.61e-03    7.4e-04
   1800      2.42e+00    6.65e-01      6.40e-02    3.05e-02      8.91e-02    2.43e-02    7.4e-04
   1900      1.90e+00    6.46e-01      6.35e-02    9.74e-02      6.96e-02    2.12e-02    7.4e-04
   2000      3.90e+00    2.45e+00      4.66e-01    3.56e-01      1.39e-01    8.31e-02    6.6e-04
   2100      1.69e+00    9.78e-01      2.59e-02    4.03e-02      6.55e-02    3.76e-02    6.6e-04
   2200      1.81e+00    2.89e-01      6.06e-02    6.72e-04      6.98e-02    1.12e-02    6.6e-04
   2300      2.00e+00    5.90e-01      6.98e-02    2.46e-02      7.71e-02    2.27e-02    6.6e-04
   2400      1.73e+00    6.28e-01      6.17e-02    1.38e-02      6.65e-02    2.43e-02    6.6e-04
   2500      1.33e+00    2.18e-01      2.36e-02    2.17e-03      5.44e-02    8.91e-03    6.0e-04
   2600      1.84e+00    5.00e-01      2.01e-02    2.07e-02      7.50e-02    2.02e-02    6.0e-04
   2700      1.70e+00    7.21e-01      4.59e-02    5.25e-03      6.92e-02    2.95e-02    6.0e-04
   2800      1.53e+00    5.27e-01      7.89e-02    4.08e-02      6.15e-02    2.06e-02    6.0e-04
   2900      1.73e+00    2.46e-01      3.90e-02    1.63e-02      7.04e-02    9.77e-03    6.0e-04
   3000      1.43e+00    7.98e-01      1.46e-02    2.08e-02      6.15e-02    3.41e-02    5.4e-04
   3100      1.79e+00    4.98e-01      8.33e-02    2.02e-02      7.57e-02    2.11e-02    5.4e-04
   3200      1.55e+00    2.71e-01      5.23e-02    1.90e-02      6.58e-02    1.12e-02    5.4e-04
   3300      2.33e+00    9.34e-01      2.13e-01    8.59e-02      9.27e-02    3.75e-02    5.4e-04
   3400      1.55e+00    3.21e-01      1.88e-02    7.98e-02      6.67e-02    3.58e-03    5.4e-04
   3500      1.34e+00    9.13e-01      4.42e-02    4.44e-03      6.00e-02    4.13e-02    4.9e-04
   3600      1.27e+00    2.85e-01      3.68e-02    3.07e-03      5.68e-02    1.29e-02    4.9e-04
   3700      1.54e+00    1.56e-01      9.08e-02    2.87e-02      6.75e-02    4.63e-03    4.9e-04
   3800      1.22e+00    4.29e-01      7.85e-02    6.35e-02      5.34e-02    1.54e-02    4.9e-04
   3900      1.74e+00    1.70e+00      1.35e-01    4.05e-01      7.47e-02    1.77e-02    4.9e-04
   4000      1.06e+00    3.19e-01      3.12e-02    3.79e-03      4.99e-02    1.52e-02    4.4e-04
   4100      1.38e+00    1.20e-01      6.72e-02    1.61e-02      6.41e-02    4.67e-03    4.4e-04
   4200      1.47e+00    2.25e-01      9.56e-02    4.47e-02      6.74e-02    5.66e-03    4.4e-04
   4300      9.83e-01    5.30e-01      2.49e-02    3.31e-03      4.65e-02    2.52e-02    4.4e-04
   4400      1.91e+00    1.08e+00      3.28e-01    2.06e-01      6.13e-02    2.99e-02    4.4e-04
   4500      1.05e+00    9.85e-02      5.25e-02    2.18e-02      5.14e-02    1.06e-03    4.0e-04
   4600      1.07e+00    5.59e-01      4.42e-02    2.09e-02      5.27e-02    2.76e-02    4.0e-04
   4700      1.18e+00    1.63e-01      3.46e-03    3.07e-03      5.90e-02    8.17e-03    4.0e-04
   4800      1.16e+00    9.46e-02      6.94e-03    1.75e-02      5.83e-02    2.73e-03    4.0e-04
   4900      1.10e+00    3.32e-01      4.81e-02    5.56e-02      5.43e-02    1.12e-02    4.0e-04
   5000      1.18e+00    2.93e-01      2.30e-02    1.79e-02      6.22e-02    1.49e-02    3.6e-04
   5100      1.24e+00    5.97e-01      2.46e-03    1.08e-02      6.56e-02    3.14e-02    3.6e-04
   5200      1.05e+00    1.13e-01      2.51e-02    1.78e-02      5.50e-02    4.13e-03    3.6e-04
   5300      1.08e+00    3.77e-01      1.27e-02    4.00e-02      5.70e-02    1.74e-02    3.6e-04
   5400      1.06e+00    2.19e-01      9.31e-02    4.50e-02      5.13e-02    4.03e-03    3.6e-04
   5500      1.04e+00    4.90e-01      4.27e-02    2.86e-02      5.68e-02    2.62e-02    3.2e-04
   5600      1.32e+00    3.18e-01      1.31e-01    1.94e-02      6.50e-02    1.69e-02    3.2e-04
   5700      1.76e+00    7.06e-01      1.42e-01    4.47e-02      9.06e-02    3.75e-02    3.2e-04
   5800      1.13e+00    6.48e-02      5.17e-02    8.13e-03      6.13e-02    2.92e-03    3.2e-04
   5900      9.26e-01    4.22e-01      6.71e-03    9.62e-03      5.14e-02    2.33e-02    3.2e-04
   6000      1.16e+00    7.75e-02      4.02e-02    2.26e-03      6.68e-02    4.49e-03    2.9e-04
   6100      9.49e-01    4.96e-02      3.65e-02    6.49e-03      5.45e-02    2.26e-03    2.9e-04
   6200      8.82e-01    6.54e-02      1.91e-02    3.13e-03      5.13e-02    3.72e-03    2.9e-04
   6300      9.09e-01    6.95e-01      2.58e-02    5.16e-02      5.26e-02    3.80e-02    2.9e-04
   6400      9.11e-01    2.47e-01      3.50e-02    5.24e-03      5.23e-02    1.44e-02    2.9e-04
   6500      9.15e-01    1.30e-01      1.85e-02    1.10e-02      5.60e-02    7.29e-03    2.6e-04
   6600      8.47e-01    2.04e-01      4.64e-02    3.54e-03      5.02e-02    1.25e-02    2.6e-04
   6700      9.17e-01    4.02e-01      1.56e-02    1.47e-03      5.62e-02    2.47e-02    2.6e-04
   6800      9.49e-01    3.04e-01      6.96e-02    5.90e-02      5.44e-02    6.06e-03    2.6e-04
   6900      8.43e-01    1.06e-01      3.89e-03    4.36e-03      5.18e-02    6.38e-03    2.6e-04
   7000      8.49e-01    4.05e-01      8.25e-03    4.80e-03      5.49e-02    2.61e-02    2.4e-04
   7100      1.09e+00    1.16e-01      5.76e-03    2.01e-03      7.05e-02    7.47e-03    2.4e-04
   7200      8.44e-01    3.40e-02      1.53e-02    1.19e-03      5.44e-02    2.17e-03    2.4e-04
   7300      8.12e-01    1.14e-01      3.31e-02    3.86e-03      5.15e-02    7.28e-03    2.4e-04
   7400      7.72e-01    6.14e-02      1.56e-02    1.25e-03      4.97e-02    3.95e-03    2.4e-04
   7500      7.84e-01    3.35e-02      2.23e-03    5.14e-03      5.34e-02    1.45e-03    2.1e-04
   7600      7.68e-01    2.10e-01      1.62e-02    1.52e-03      5.20e-02    1.43e-02    2.1e-04
   7700      8.08e-01    1.70e-01      2.05e-02    5.61e-03      5.46e-02    1.14e-02    2.1e-04
   7800      9.12e-01    2.78e-01      1.03e-01    1.89e-02      5.08e-02    1.78e-02    2.1e-04
   7900      9.78e-01    6.68e-01      1.12e-01    1.09e-01      5.44e-02    2.61e-02    2.1e-04
   8000      7.84e-01    5.85e-02      1.72e-02    1.13e-03      5.58e-02    4.17e-03    1.9e-04
   8100      6.60e-01    3.49e-01      2.84e-02    8.59e-03      4.61e-02    2.48e-02    1.9e-04
   8200      6.74e-01    1.84e-01      1.02e-02    1.19e-02      4.81e-02    1.25e-02    1.9e-04
   8300      6.96e-01    1.10e-01      2.94e-02    1.59e-02      4.87e-02    5.32e-03    1.9e-04
   8400      7.25e-01    1.78e-01      2.52e-02    9.04e-03      5.11e-02    1.23e-02    1.9e-04
   8500      7.94e-01    3.64e-02      2.51e-02    3.10e-03      5.91e-02    2.47e-03    1.7e-04
   8600      6.32e-01    2.99e-01      3.78e-03    5.22e-03      4.77e-02    2.25e-02    1.7e-04
   8700      6.57e-01    2.32e-02      6.33e-03    1.13e-03      4.94e-02    1.69e-03    1.7e-04
   8800      6.19e-01    1.63e-01      2.19e-02    2.09e-02      4.58e-02    9.20e-03    1.7e-04
   8900      5.91e-01    3.79e-02      2.63e-02    3.18e-03      4.34e-02    2.58e-03    1.7e-04
   9000      6.53e-01    2.09e-02      2.77e-02    1.32e-03      5.05e-02    1.57e-03    1.6e-04
   9100      6.57e-01    2.70e-01      1.66e-02    4.48e-03      5.16e-02    2.14e-02    1.6e-04
   9200      6.61e-01    1.52e-01      1.20e-02    1.99e-02      5.23e-02    8.84e-03    1.6e-04
   9300      6.40e-01    2.64e-01      1.58e-02    2.44e-03      5.04e-02    2.10e-02    1.6e-04
   9400      5.38e-01    1.25e-01      1.01e-02    3.11e-03      4.24e-02    9.83e-03    1.6e-04
   9500      6.19e-01    1.29e-01      1.68e-02    2.37e-02      5.11e-02    2.84e-03    1.4e-04
   9600      6.15e-01    1.18e-01      4.34e-02    1.89e-02      4.78e-02    5.27e-03    1.4e-04
   9700      5.59e-01    2.72e-01      1.69e-02    6.34e-03      4.61e-02    2.25e-02    1.4e-04
   9800      6.90e-01    7.99e-02      3.13e-02    4.35e-03      5.59e-02    6.40e-03    1.4e-04
   9900      4.91e-01    2.60e-02      2.70e-02    3.27e-03      3.92e-02    1.63e-03    1.4e-04
  10000      5.73e-01    1.13e-01      1.13e-02    6.67e-03      5.01e-02    9.44e-03    1.3e-04
  10100      5.53e-01    1.50e-01      3.48e-02    1.03e-02      4.57e-02    1.23e-02    1.3e-04
  10200      6.09e-01    2.04e-01      1.25e-02    2.28e-03      5.31e-02    1.79e-02    1.3e-04
  10300      5.04e-01    1.02e-01      9.59e-03    8.34e-03      4.40e-02    8.08e-03    1.3e-04
  10400      5.60e-01    1.26e-01      1.62e-02    5.34e-03      4.86e-02    1.08e-02    1.3e-04
  10500      5.07e-01    5.31e-02      1.54e-02    6.23e-03      4.63e-02    3.83e-03    1.2e-04
  10600      5.75e-01    3.63e-01      2.06e-03    6.72e-02      5.31e-02    5.63e-03    1.2e-04
  10700      5.01e-01    3.22e-01      1.30e-03    3.58e-03      4.63e-02    2.97e-02    1.2e-04
  10800      7.32e-01    2.31e-01      5.63e-02    3.62e-02      6.18e-02    1.17e-02    1.2e-04
